,question,Actual Abstract,quest_emb,Predicted Abstract,Answer
371,Who is Joseph Philippe Pierre Yves Elliott Trudeau?,"Joseph Philippe Pierre Yves Elliott Trudeau  ( TROO-doh, troo-DOH, French: [pjɛʁ tʁydo]; October 18, 1919 – September 28, 2000), mostly referred to as simply Pierre Trudeau, or by the initials PET, was a Canadian politician who was the 15th prime minister of Canada and leader of the Liberal Party of Canada, between 1968 and 1984, with a brief period as Leader of the Opposition, from 1979 to 1980.","[[-0.02042911  0.04943122  0.03269991 ...  0.03868394  0.09583788
   0.02387434]]","Pierre Curzi (born February 11, 1946 in Montreal, Quebec) is an actor, screenwriter and politician in Quebec.",Answer not found!
372,"Name a commercial fisherman, trapper and political figure in Saskatchewan?","Frederick John Thompson (May 21, 1935 – July 7, 2010) was a commercial fisherman, trapper and political figure in Saskatchewan.","[[ 0.01666664  0.13771933  0.05526994 ... -0.01258786 -0.00648515
   0.09206521]]","Frederick John Thompson (May 21, 1935 – July 7, 2010) was a commercial fisherman, trapper and political figure in Saskatchewan.",Frederick John Thompson 
373,"When did Frederick Wellington ""Cyclone"" Taylor, a Canadian professional ice hockey player and civil servant die?","Frederick Wellington ""Cyclone"" Taylor, MBE (June 23, 1884 – June 9, 1979) was a Canadian professional ice hockey player and civil servant.",[[0.00510417 0.04943122 0.05745675 ... 0.1062762  0.07648961 0.10666611]],"Frederick Wellington ""Cyclone"" Taylor, MBE (June 23, 1884 – June 9, 1979) was a Canadian professional ice hockey player and civil servant.",June 9 1979
374,"Who is Chris ""Canuck Truck"" Szarka?","Chris ""Canuck Truck"" Szarka (born February 12, 1975 in Vancouver, British Columbia) is a former Canadian Football League fullback.","[[-0.0114444   0.04943122 -0.0139518  ...  0.0294754  -0.067958
   0.04986691]]","Chris ""Canuck Truck"" Szarka (born February 12, 1975 in Vancouver, British Columbia) is a former Canadian Football League fullback.","Chris ""Canuck Truck"" Szarka (born February 12, 1975 in Vancouver, British Columbia) is a former Canadian Football League fullback."
375,"When  was Joseph ""Joe"" Albert Taylor Sullivan born?","Joseph ""Joe"" Albert Taylor Sullivan (January 8, 1901 – September 30, 1988) was a Canadian Olympic ice hockey player, physician, surgeon, and politician.","[[-0.01890067  0.04943122 -0.04617817 ...  0.04271335  0.04701433
   0.03885907]]","Charles Smith (""C.S."")",Answer not found!
376,"Name a Canadian police officer, politician, football player, professor, and Citizenship Judge?","George Philip Gregory Springate  (May 12, 1938 – November 20, 2019) was a Canadian police officer, politician, football player, professor, and Citizenship Judge.","[[ 0.04194167  0.06954227  0.11780734 ... -0.01258786  0.05060345
   0.1316839 ]]","George Philip Gregory Springate  (May 12, 1938 – November 20, 2019) was a Canadian police officer, politician, football player, professor, and Citizenship Judge.",George Philip Gregory Springate  
377,"Name an American author and editor, and publisher of Smith Magazine?","Larry Smith (born September 17, 1968) is an American author and editor, and publisher of Smith Magazine.","[[-0.02874381  0.04943122 -0.01190642 ...  0.07517208  0.12190841
   0.0894431 ]]","Larry Smith (born September 17, 1968) is an American author and editor, and publisher of Smith Magazine.",Larry Smith 
378,Who is Robert Underdunk Terwilliger Jr?,"Robert Underdunk Terwilliger Jr., PhD, better known as Sideshow Bob, is a recurring character in the animated television series The Simpsons.","[[-0.02042911  0.07969617  0.03675343 ... -0.00606411 -0.00089892
   0.00680384]]",Thos.,Answer not found!
379,"When was Frederick ""Chief Running Deer"" Sasakamoose born?","Frederick ""Chief Running Deer"" Sasakamoose,  (born December 25, 1933) is a former Canadian professional ice hockey player.","[[-0.01890067  0.04943122  0.08933726 ...  0.09453329  0.07062308
   0.0241569 ]]","Frederick ""Chief Running Deer"" Sasakamoose,  (born December 25, 1933) is a former Canadian professional ice hockey player.","December 25, 1933"
380,"Who is Samuel ""Sam"" Rothschild?","Samuel ""Sam"" Rothschild (October 16, 1899 – April 15, 1987) was a Canadian professional ice hockey player who played 102 games in the National Hockey League (NHL).","[[-0.01562911  0.04943122  0.07568134 ...  0.05677012  0.01093512
   0.04127479]]","Charles Smith (""C.S."")",Answer not found!
381,Name an Australian human rights lawyer and barrister with Doughty Street Chambers in London?,Jennifer Robinson (born 1981) is an Australian human rights lawyer and barrister with Doughty Street Chambers in London.,"[[-0.02874381  0.20160984  0.1675934  ...  0.01288007  0.06405187
   0.0810105 ]]",Jennifer Robinson (born 1981) is an Australian human rights lawyer and barrister with Doughty Street Chambers in London.,Jennifer Robinson 
382,"Who is Charles Gavan ""Chubby"" Power?","Charles Gavan ""Chubby"" Power,  (18 January 1888 – 30 May 1968) was a Canadian politician and ice hockey player.",[[0.00268939 0.04943122 0.21432117 ... 0.06639122 0.04177345 0.09758045]],"Charles Gavan ""Chubby"" Power,  (18 January 1888 – 30 May 1968) was a Canadian politician and ice hockey player.","Charles Gavan ""Chubby"" Power,  (18 January 1888 – 30 May 1968) was a Canadian politician and ice hockey player."
383,"What was Steven Patrick Morrissey, an English singer, songwriter, and author known mononymously as?","Steven Patrick Morrissey (; born 22 May 1959), known mononymously as Morrissey, is an English singer, songwriter, and author.","[[-0.01890067  0.09660364  0.2042107  ...  0.04784235  0.12389724
   0.0687504 ]]","Steven Patrick Morrissey (; born 22 May 1959), known mononymously as Morrissey, is an English singer, songwriter, and author.",Morrissey
384,Name a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League?,"Gerry Organ (born December 4, 1944) is a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League.",[[0.01924546 0.11606012 0.19293433 ... 0.01383286 0.05352705 0.10072004]],"Gerry Organ (born December 4, 1944) is a former professional Canadian football placekicker and punter for the Ottawa Rough Riders of the Canadian Football League.",Gerry Organ 
385,"When did Cynthia Maria ""Cindy"" Nicholas, a long distance swimmer and a politician in Ontario, Canada die?","Cynthia Maria ""Cindy"" Nicholas,  (August 20, 1957 – May 19, 2016) was a long distance swimmer and a politician in Ontario, Canada.","[[-0.00090419  0.11413758  0.13093862 ...  0.1163895   0.06479436
   0.09011942]]","Cynthia Maria ""Cindy"" Nicholas,  (August 20, 1957 – May 19, 2016) was a long distance swimmer and a politician in Ontario, Canada.",May 19 2016
386,"Who is Wilfred Kennedy ""Bucko"" McDonald?","Wilfred Kennedy ""Bucko"" McDonald (October 31, 1911 – July 19, 1991) was a Canadian professional hockey and lacrosse player, coach, and politician.","[[-0.02042911  0.04943122  0.08384141 ...  0.01872949 -0.0259149
   0.03304524]]","Charles Smith (""C.S."")",Answer not found!
387,"Who is Maurice William ""Moe"" Mantha?","Maurice William ""Moe"" Mantha (December 13, 1933 – September 18, 2015) was a Canadian ice hockey player and a politician.","[[-0.02042911  0.04943122 -0.02235045 ...  0.01994957  0.04221296
   0.03112773]]","Charles Smith (""C.S."")",Answer not found!
388,"When was Douglas Roy ""Doug"" Livingston born?","Douglas Roy ""Doug"" Livingston (born April 15, 1954) is an educator and former political figure in the Yukon, Canada.","[[-0.01890067  0.04943122 -0.0004063  ...  0.04566887  0.04381302
   0.04172976]]","Charles Smith (""C.S."")",Answer not found!
389,Name a former territorial level politician and Member of the Legislative Assembly of the Northwest territories?,"Fred Koe (born March 8, 1947) is a former territorial level politician and Member of the Legislative Assembly of the Northwest territories from 1991 to 1995.","[[ 0.03373021  0.11606012  0.18419288 ... -0.00351472  0.06374137
   0.10404357]]","Terry Dennis is a Canadian provincial politician, who is the current Member of the Legislative Assembly of Saskatchewan for the riding of Canora-Pelly.",Answer not found!
390,"Name a Canadian Inuit lawyer, politician, and former sportsman?","Kiviaq (also known as David Charles Ward; January 23, 1936 – April 24, 2016) was a Canadian Inuit lawyer, politician, and former sportsman.","[[ 0.04194167  0.11324435  0.12299208 ... -0.01258786  0.05423564
   0.09352694]]","Kiviaq (also known as David Charles Ward; January 23, 1936 – April 24, 2016) was a Canadian Inuit lawyer, politician, and former sportsman.",Kiviaq 
391,"When did Leonard Patrick ""Red"" Kelly, a Canadian professional ice hockey player and coach die?","Leonard Patrick ""Red"" Kelly  (July 9, 1927 – May 2, 2019) was a Canadian professional ice hockey player and coach.","[[-0.00285022  0.1111262   0.10532336 ...  0.07566833  0.06367836
   0.1019936 ]]","Leonard Patrick ""Red"" Kelly  (July 9, 1927 – May 2, 2019) was a Canadian professional ice hockey player and coach.",May 2 2019
392,"Who is Gregory Andrew ""Greg"" Joy?","Gregory Andrew ""Greg"" Joy (born April 23, 1956) is an American-born Canadian high jumper who stood 6' 4"" tall and weighed 157 lbs while competing from 1973 to 1982 for Canada.","[[-0.02042911  0.04943122 -0.02472486 ...  0.0747679   0.01224732
   0.03876948]]","Charles Smith (""C.S."")",Answer not found!
393,"When was Roderick George McLean ""The Arrow"" Hunter, a Canadian curler and politician born?","Roderick George McLean ""The Arrow"" Hunter (August 24, 1943 – January 6, 2018) was a Canadian curler and politician.","[[-0.01890067  0.06479356  0.1422247  ...  0.07606508  0.04149879
   0.08747683]]","Roderick George McLean ""The Arrow"" Hunter (August 24, 1943 – January 6, 2018) was a Canadian curler and politician.","24, 1943 –"
394,"Who is Michael Patrick ""Mickey"" Hennessy?","Michael Patrick ""Mickey"" Hennessy (August 8, 1915 — March 5, 1991) was a boxer and politician in Ontario, Canada.","[[-0.02042911  0.11840181  0.04508438 ...  0.04274335  0.00038664
   0.0289306 ]]","Charles Smith (""C.S."")",Answer not found!
395,"When was Enrico Pasquale Ciccone, a Canadian former professional ice hockey defenceman born?","Enrico Pasquale Ciccone (born April 10, 1970) is a Canadian former professional ice hockey defenceman who played in the National Hockey League (NHL).",[[0.00288406 0.11702634 0.07253245 ... 0.03547651 0.10879207 0.11613487]],"Enrico Pasquale Ciccone (born April 10, 1970) is a Canadian former professional ice hockey defenceman who played in the National Hockey League (NHL).","April 10, 1970"
396,"Who is Harold Peter ""Herb"" Capozzi?","Harold Peter ""Herb"" Capozzi (April 24, 1925 – November 21, 2011) was an athlete, businessman, professional sports team manager and political figure in British Columbia.","[[-0.01661964  0.04943122  0.01211977 ...  0.00032818  0.00700544
   0.07510409]]","Harold Peter ""Herb"" Capozzi (April 24, 1925 – November 21, 2011) was an athlete, businessman, professional sports team manager and political figure in British Columbia.","Harold Peter ""Herb"" Capozzi (April 24, 1925 – November 21, 2011) was an athlete, businessman, professional sports team manager and political figure in British Columbia."
397,"What was Charles Griffith Wynne,  Liberal Tory politician and a Member of Parliament for Caernarfon later known as?","Charles Griffith Wynne (14 August 1815 – 3 March 1874), later known as Charles Wynne-Finch, was a Liberal Tory politician and a Member of Parliament for Caernarfon.","[[-0.01890067  0.0934277   0.13245924 ...  0.0198874   0.06059869
   0.11652949]]","Charles Griffith Wynne (14 August 1815 – 3 March 1874), later known as Charles Wynne-Finch, was a Liberal Tory politician and a Member of Parliament for Caernarfon.",Charles WynneFinch
